os_id,os_name
1,"Android 16.0, One UI 8"
2,Android
3,"Android 14, One UI 6.1"
4,Android 14
5,"Android 15, One UI 7"
6,Android 9.0
7,Android (version not specified)
8,Android 13.0
9,Android 10.0
10,Android 15
11,Android 12.0
12,android
13,Andorid
14,"Android 14, OneUI 6.1"
15,"Android 12, One UI Core 4.1"
16,Android 11.0
17,Android 8.1
18,"Android 16, OneUI 8"
19,"Android 15.0, OneUI 7.0"
20,Nucleus OS
